source,relation_type,target,description,evidence,confidence
skill.business_daily_report,implementsWorkflow,workflow.business_daily_report,Skill business_daily_report 对应 workflow business_daily_report,migrations/011-seed-agent-skill-def.sql:L31-L38,0.92
skill.business_monthly_report,implementsWorkflow,workflow.business_monthly_report,Skill business_monthly_report 对应 workflow business_monthly_report,migrations/011-seed-agent-skill-def.sql:L40-L46,0.92
skill.replenishment_forecast,implementsWorkflow,workflow.replenishment_forecast,Skill replenishment_forecast 对应 workflow replenishment_forecast,migrations/011-seed-agent-skill-def.sql:L48-L53,0.92
skill.replenishment_adjustment,implementsWorkflow,workflow.replenishment_adjustment,Skill replenishment_adjustment 对应 workflow replenishment_adjustment,migrations/011-seed-agent-skill-def.sql:L55-L60,0.92
skill.purchase_order_create,implementsWorkflow,workflow.purchase_order_create,Skill purchase_order_create 对应 workflow purchase_order_create,migrations/011-seed-agent-skill-def.sql:L62-L69,0.92
project.storepilot-ai,contains,component.storepilot_ai,根项目包含 workspace 与工具链。,README.md:L5-L27,0.92
project.storepilot-ai,contains,component.storepilot.agent_service,主服务包。,README.md:L9-L14,0.92
project.storepilot-ai,contains,component.storepilot.shared_contracts,共享契约包。,README.md:L9-L14,0.92
project.storepilot-ai,contains,component.storepilot.mcp_mock_server,MCP mock 包。,README.md:L9-L14,0.92
component.storepilot.agent_service,dependsOn,component.storepilot.shared_contracts,主服务依赖共享契约。,packages/agent-service/package.json:L15-L37,0.92
component.storepilot.agent_service,exposes,api.chat.completions,提供 OpenAI-compatible Chat Completions SSE 桥。,packages/agent-service/src/api/chat-completions.ts:L243-L453,0.92
component.storepilot.agent_service,exposes,api.health,提供 5 个健康检查路由。,packages/agent-service/src/api/health.ts:L1-L18,0.92
component.storepilot.agent_service,calls,tool.*,通过 MCPClient 调用 7 个 ERP MCP 工具。,packages/agent-service/src/mastra/mcp/client.ts:L36-L55,0.92
component.storepilot.mcp_mock_server,registers,tool.*,mock-server 注册 7 个工具并支持 fixtures。,packages/mcp-mock-server/src/mcp-server.ts:L85-L190,0.92
domain.Merchant,owns,domain.Store,商家拥有多个门店。,docs/core-doc/version1/门店助手Agent_V1_本体模型文档.md:L131-L153,0.92
domain.Store,has,domain.InventorySnapshot,门店拥有 SKU 库存快照。,docs/core-doc/version1/门店助手Agent_V1_本体模型文档.md:L131-L153,0.92
domain.Store,has,domain.SalesSummary,门店拥有经营销售汇总。,docs/core-doc/version1/门店助手Agent_V1_本体模型文档.md:L131-L153,0.92
